title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
值得推荐的可视化数据库管理系统	现代计算机	1995	1995年Z1期	【作者】 朝辉 ；	可视化软件 ； 数据库管理系统 ； 图形用户接口 ； 可视化设计 ； ORACLE ； 操作系统支持 ； WINDOWS ； FoxPro ；	<正> 近几年来,图形用户接口(GUI)技术得到广泛应用,大多数电脑人员都在WINDOWS操作系统支持下进行设计或应用。Microsoft和他的伙伴推出了大批基于WINDOWS的可视化软件工具,包括可视化语言、可视化数据库管理系统、可视化设计工具、可视化实用程序。1995年,ORACLE公司推出的Oracle Workgroup/2000以及Microsoft推出的Visual FoxPro 3.0,是可视化数据库管理系统(DBMS)的典型代表。由于这两个DMBS吸收了可	1995年Z1期_值得推荐的可视化数据库管理系统.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS1995Z1000&dbname=CJFD9498
数据库技术在模糊模式识别中的应用	现代计算机	1995	1995年Z1期	【作者】 李雪峰 ； 陈湛匀 ； 【机构】 上海大学管理学院 ； 上海大学管理学院 ；	贴近度 ； 模糊模式识别 ； 模糊预测 ； 数据库技术 ； 欧氏距离 ；	在通常的模式识别中,模式是明确、清晰、肯定的,但有些实际问题,模式本身很不明确,带有一定的模糊性,描述这类模式最好借助于模糊集。借助于数据库技术,利用模糊模式识别的欧氏贴近度模型进行模糊预测将是本文的一大突破。该数据库应用软件在完满地解决了多变量、非线性的、大时滞的水泥强度预测这一实际问题后,将有广阔应用推广的前景。	1995年Z1期_数据库技术在模糊模式识别中的应用.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS1995Z1001&dbname=CJFD9498
利用UCDOS 3.1特显功能开发软件封面	现代计算机	1995	1995年Z1期	【作者】 陶滔 ； 【机构】 韶关市第一人民医院计算机室 ；	系统开发者 ； UCDOS 3.1 ； 程序开发者 ； 病案管理系统 ； FOXPRO ； 文化水平 ； 计算机室 ； 命令行 ； 任意键 ； 显示程序 ；	<正> 程序开发者编写完程序后,都要考虑给系统一个好封面。好的系统封面不仅给人美的享受,同时也在一定程度上反映系统开发者的文化水平。笔者利用UC-DOS3.1特显功能,在FOXPRO2.5系统下开发了“病案管理系统”软件的开端界面,其界面过程如下: 所有的字都重复出现两次,这就是立体感的秘密。	1995年Z1期_利用UCDOS+3.1特显功能开发软件封面.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS1995Z1002&dbname=CJFD9498
人工神经网络技术在决策支持系统中的应用	现代计算机	1995	1995年Z1期	【作者】 李东 ； 李华 ； 【机构】 武汉华中理工大学计算机系 ； 珠海银城科技开发公司 430074 ； 519000 ；	人工神经网络 ； 决策支持系统 ； 专家系统 ；	本文针对决策支持和专家系统技术的优点及不足,提出了利用人工神经网络将二者结合起来的观点。在简要介绍了决策支持、专家系统和人工神经网络的特点之后,给出了一个人神经网络决策支持的实例。	1995年Z1期_人工神经网络技术在决策支持系统中的应用.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS1995Z1003&dbname=CJFD9498
AutoCAD中表面粗糙度和形位公差模块的开发	现代计算机	1995	1995年Z1期	【作者】 杨爱英 ； 贺林华 ； 【机构】 广东南海中南动力机械有限公司计算机中心 ； 广东南海中南动力机械有限公司计算机中心 ；	AutoCAD ； 粗糙度 ； 形位公差 ； 图标菜单 ；	本文主要介绍了利用AutoLISP语言对AutoCAD进行二次开发,增加其形位公差、表面粗糙度等标注功能,并在标注方式上采用图标菜单的方法。	1995年Z1期_AutoCAD中表面粗糙度和形位公差模块的开发.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS1995Z1004&dbname=CJFD9498
指纹图像压缩技术探讨	现代计算机	1995	1995年Z1期	【作者】 张树人 ； 周毅 ； 林泳 ； 【机构】 上海职工医学院 ； 上海市公安局 ；	指纹图 ； 图像压缩 ；	本文对纹理图的代表指纹图的图像压缩作了研究,针对指纹图的特性采用了前景分离和分类变换编码的方案。前背景分离使得背景区域可以被舍弃而不引入任何信息损失,在DTC变换系数矩阵中引入的两级分类则可充分利用指纹图边缘的规律性以减少信息冗余,Huffman编码用来进一步降低编码率。实验结果表明本方案在保持良好视觉效果的前提下可达到20倍以上的压缩倍数。	1995年Z1期_指纹图像压缩技术探讨.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS1995Z1005&dbname=CJFD9498
简讯	现代计算机	1995	1995年Z1期	【作者】 金争 ；	软件界 ； 科利 ； 软件销售 ； 家庭教师 ； 计算机工业 ； 中版 ； 工程师们 ； 广州花园酒店 ； 外国品牌 ； 界格 ；	<正> 1995年行将结束。回顾这一年软件界的大事时,北京科利华电脑有限公司推出的“CSC电脑家庭教师”系列软件,在教育界格外引人注目。 “CSC电脑家庭教师”初中版自年初上市已销售20多万套;高中版9月上市一个月便售出一万多套,开创了中国软件销售的新记	1995年Z1期_简讯.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS1995Z1006&dbname=CJFD9498
视频LED大屏幕灰度处理	现代计算机	1995	1995年Z1期	【作者】 李军 ； 左明 ； 曾新宇 ； 【机构】 中山大学中鸣显示技术有限公司 ； 中山大学中鸣显示技术有限公司 ；	灰级 ； LED ； 大屏幕 ；	本文主要根据人眼的视觉特性,论述了两种能使视频LED大屏幕灰度层次表现得更丰富的数据处理方法。	1995年Z1期_视频LED大屏幕灰度处理.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS1995Z1007&dbname=CJFD9498
户外LED全彩色大屏幕显示象素的配色设计	现代计算机	1995	1995年Z1期	【作者】 陈建胜 ； 蔡如海 ； 黄彤光 ； 黄清 ； 【机构】 广州中山大学中鸣显示技术工程有限公司 ； 广州中山大学中鸣显示技术工程有限公司 ；	LED ； 全彩色大屏幕 ； 像素 ； 频谱特性 ；	本文根据目前LED频谱曲线的具体情况,对LED户外全彩色显示屏像素中红、绿、蓝三种颜色LED的数量比例进行了深入的探讨,并结合实际工作进行详细的讨论。	1995年Z1期_户外LED全彩色大屏幕显示象素的配色设计.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS1995Z1008&dbname=CJFD9498
51系列单片机系统开发器构成的新方法	现代计算机	1995	1995年Z1期	【作者】 朱锦堃 ； 【机构】 中山大学物理系微机教研室 广州 510275 ；	硬件程序开发器 ； E~2ROM ； 仿真运行 ；	本文介绍的51系列单片机开发器,结构简单,但功能基本齐全。系统由非常简单的硬件开发器和软件开发器两部分组成。新方法的独特之处在于依靠IBM兼容机强大的软件功能来支持最简单的硬件——程序开发器,实现程序的编辑、编译、程序的固化、程序运行、寄存器的查看等功能,很适合教学、业余开发使用。	1995年Z1期_51系列单片机系统开发器构成的新方法.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS1995Z1009&dbname=CJFD9498
