title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
简讯	现代计算机(专业版)	2002	2002年12期		顶级域名 ； 产品出口额 ； 信息产业 ； 网络安全 ； 中文域名 ； 网络计算 ； 上网服务 ； 电子签章 ； 政府信息公开法 ； 沿海地区 ；	中国IT出口额频创新高今年将破800亿美元据中国信息产业部资料指出，2002年9～10月中国电子资讯产品出口额均超过90亿美元，再创历史新高，预估全年电子资讯产品出口额可望突破800亿美元。2002年1～10月三资企业出口额574.7亿美元，占全部出口的79.2%。出口省市仍以东部沿海地区为主，中西部地区则快速成长。前5大出口省市依序为广东省、江苏省、上海市、天津市及福建省。该5省市合计出口额占中国电子资讯产品总出口的87.5%。中西部地区中，四川省、湖北省及安徽省出口分别成长405.8%、62.2%与35.5%。在出口国方面，美、日市场大幅回升，新市场则迅速开拓。2002年前10个月中国对先	2002年12期_简讯.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS200212000&dbname=CJFD9902
交互式数据清理系统的研究	现代计算机(专业版)	2002	2002年12期	【作者】 魏定国 ； 【Author】       WEI Ding-guo (Guangdong Commercial College,Guangzhou510320China) 【机构】 广东商学院 广州510320 ；	数据清理 ； 偏差检测 ； 数据转换 ； Data Cleaning ； Discrepancy Detection ； Data Transformation ；	当今数据清理方案需要反复进行数据质量分析以查找错误,为修复它们而进行的转换需要运行很长的时间。用户需要忍受长时间的等待,而且经常需要撰写复杂的转换脚本。我们所探讨的交互式数据清理系统,它能紧密地将转换和偏差检测集成在一起,只要发现偏差,用户就可以交互式地使用简单的图表操作、实例描述逐渐建立一个转换,无需书写复杂的程序或忍受很长的延时。	2002年12期_交互式数据清理系统的研究.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS200212001&dbname=CJFD9902
广义的关联规则挖掘算法	现代计算机(专业版)	2002	2002年12期	【作者】 谭显波 ； 谭显春 ； 许秀梅 ； 宛西原 ； 【Author】       TAN Xian-bo 1 ,TAN Xian-chun 2 ,XU Xiu-mei 3 ,Wan Xi-yuan 4 (1.Foshan Polytechnic College,Guangdong 528237 China;2.The Institute of Manufacturing Engineering,Chongqing University,Chongqing40004 4 China;3.The Department of Information Engineeting,Donghua Institute of Technology,Jia ngxi 344000 China;4.Dept.of Automation of Logistical Engineering University,Chongqing 400041 China ) 【机构】 佛山职业技术学院 ； 重庆大学制造工程研究所 ； 东华理工学院信息工程系 ； 后勤工程学院自动化系 广东528237 ； 重庆400044 ； 江西344000 ； 重庆400041 ；	数据挖掘 ； 关联规则 ； 频集 ； AR_SET ； Data Mining ； Association Rules ； Frequent Itemset ； AR_SET ；	本文提供了在数据挖掘中的关联规则的分类方式,对一些典型算法进行了分析,最后提出了广义的关联规则挖掘算法AR_SET,利用集合“或”、“与”运算求解频集(FrequentItemset),提高了挖掘的效率和速度。	2002年12期_广义的关联规则挖掘算法.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS200212002&dbname=CJFD9902
Job-Shop调度问题的遗传算法研究	现代计算机(专业版)	2002	2002年12期	【作者】 朱旭东 ； 【Author】       ZHU Xu-dong (Haibin College,Zhanjiang Ocean University,Zhanjiang524005China) 【机构】 湛江海洋大学海滨学院 湛江524005 ；	Job-Shop ； 调度 ； 遗传算法 ； 局部查找算法 ； Job-Shop ； Scheduling ； Genetic algorithm ； Local Searching Algorithm ；	本文针对最小化最大完工时间的Job-Shop调度问题,提出了一种新型的遗传算法。与局部查找算法结合,利用一种新型的染色体编码方法,并引入种群间的竞争,实现目标的全局最优化。	2002年12期_Job-Shop调度问题的遗传算法研究.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS200212003&dbname=CJFD9902
一种可扩展的OLAP服务系统设计方案	现代计算机(专业版)	2002	2002年12期	【作者】 虞晓清 ； 庄晓青 ； 董逸生 ； 【Author】       YU Xiao-qing,ZHUANG Xiao-qing,DONG Yi-sheng (Dept.of Computer Science and Engineering,South-East University,Nanjing 210096China) 【机构】 东南大学计算机系 ； 东南大学计算机系 南京210096 ； 南京210096 ； 南京210096 ；	OLAP ； 数据仓库 ； 决策支持 ； OLAP ； Data Warehouse ； Decision Support ；	本文提供了一种通用的OLAP服务系统设计方案,该方案能支持不同的DBMS厂商开发的OLAP服务器产品,具有较好的可扩展性和灵活性,用户可根据实际情况选择OLAP服务器产品。为实现这一目标,引入了自定义的查询模式语言,在前端工具和特定的OLAP服务器产品之间起语义转化的作用。	2002年12期_一种可扩展的OLAP服务系统设计方案.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS200212004&dbname=CJFD9902
数据挖掘技术	现代计算机(专业版)	2002	2002年12期	【作者】 张德武 ； 江国星 ； 【Author】       Electronic&Communication Engineering,Huazhong University of Science&Tec hnology,Wuhan430074China) ZHANG De-wu,JIANG Guo-xing 【机构】 华中科技大学电信系 ； 华中科技大学电信系 武汉430073 ； 武汉430073 ；	数据挖掘 ； 关联规则 ； 分类 ； 预测 ； 聚类 ； Data Mining ； Associ ation Rules ； Classification ； Prediction ； Clustering ；	数据挖掘(DataMining)就是从大量的、不完全的、有噪声的、模糊的、随机的数据中,提取隐含在其中的、人们事先不知道的、但又是潜在有用的信息和知识的过程。本文简略介绍了数据挖掘的分析处理过程、分析处理模式、数据挖掘在电信企业中的应用以及数据挖掘的发展趋势。	2002年12期_数据挖掘技术.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS200212005&dbname=CJFD9902
以UML用例图为基础的系统需求分析	现代计算机(专业版)	2002	2002年12期	【作者】 张晞 ； 【Author】       ZHANG Xi 【机构】 中山大学软件研究所 广州510275 ；	UML ； 面向对象 ； 用例 ； 类图 ； 交互图 ； UML ； Object-Oriented ； Use Case ； Class Diagram ； Interac tion Diagram ；	UML是目前面向对象程序设计中的一种标准的建模技术,它被用作确定、可视化、构建和文档化一个软件系统的结构。本文主要探讨以UML用例图为中心及出发点,类图、交互图为实现手段,捕获高层次的系统功能需求的策略。	2002年12期_以UML用例图为基础的系统需求分析.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS200212006&dbname=CJFD9902
基于内容检索的图像系统及其应用	现代计算机(专业版)	2002	2002年12期	【作者】 尹浩 ； 何鸿云 ； 杨文 ； 【Author】       YIN Hao 1 ,HE Hong-yun 2 ,YANG Wen 3(1.School of Computer and Comm.,Southwest Jiaotong University,Chengd u610031,China;2.Inst.of Intelligence Control and Simulation Eng.,So uthwest Jiaotong University,Chengdu610031,China;3.School of Computer and Comm.,Southwest Jiaotong University,Chengdu610031China) 【机构】 西南交通大学计算机与通信工程学院 ； 西南交通大学智能控制与仿真工程研究中心 ； 西南交通大学计算机与通信工程学院 成都610031 ； 成都610031 ； 成都610031 ；	基于内容的图像检索 ； 基于内容的视频检索 ； 场景转移图 ； 帧 ； Content-Based Image Retrieva l ； Video Retrieval Content-Based ； Hierarchical Scene Transition Graph ； Frame ；	大量多媒体化信息的产生,使得基于内容的检索技术成为研究的热点。本文先给出了基于内容的图像检索系统的系统结构,然后概述了基于内容检索的系统产品,最后介绍了基于内容的镜头查询技术与实现方法。	2002年12期_基于内容检索的图像系统及其应用.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS200212007&dbname=CJFD9902
RSA用于手机用户的数字签名方法	现代计算机(专业版)	2002	2002年12期	【作者】 蒋吉频 ； 乔万林 ； 【Author】       JIANG Ji-ping,QIAO Wan-lin (Department of Information Technology of Guangdong University of Foreign S tudies,Guangzhou510420China) 【机构】 广东外语外贸大学计算机科学系 ； 广东外语外贸大学计算机科学系 广州510420 ； 广州510420 ；	RSA算法 ； 数字签名 ； 中国剩余定理 ； 预处理 ； RSA Algorithm ； Digital Signature ； Chinese Rema inder Theorem ； Pre-treatment ；	本文从利用中国剩余定理对RSA签名算法的简化计算、预处理及对多素数RSA算法的证明和讨论等角度出发,在提高手机用户数字签名的速度方面作了探讨,以供参考。另外,在进一步提高数字签名的鉴别性和速度方面提出了一些建议和展望,希望能起到抛砖引玉的作用。	2002年12期_RSA用于手机用户的数字签名方法.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS200212008&dbname=CJFD9902
网络安全风险层次分析模型	现代计算机(专业版)	2002	2002年12期	【作者】 王桂娟 ； 陈德泉 ； 【Author】       WANG Gui-juan,CHEN De-quan (The Computer Science Department of South-China Normal University,Guangz hou510631China) 【机构】 华南师范大学计算机系 ； 华南师范大学计算机系 广州510631 ； 广州510631 ；	风险分析 ； 威胁 ； 脆弱性 ； Risk Analysis ； Threat ； Vulnerability ；	随着计算机网络的发展,网络安全问题日益突出,对网络安全进行风险分析就变得日益重要。本文从古典的风险分析入手,提出了网络安全风险层次分析模型,并用该模型对某个公司的局域网进行了风险分析。	2002年12期_网络安全风险层次分析模型.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=XDJS200212009&dbname=CJFD9902
