title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
给R&D插上路标──中国IT业的研发之路	软件世界	1999	1999年12期	【作者】 龚晓峰 ；	R&D ； 华强 ； 机床工具工业 ； 研究与开发 ； 高新技术产业 ； 进出口逆差 ； 开发研究 ； 出口贸易 ； 制造业总产值 ； 电子信息 ；	江泽民同志明确指出： ——当今世界，科学技术突飞猛进，知识经济已现端倪，国力竞争日趋激烈。 ——人类正经历一场全球性的科学技术革命。 ——一个因素，一个民族，如果不紧紧跟上科学技术水平，就会落后，就会陷入极为被动的境地。 ——一个民族不善于从历史中继承和发展本民族与世界民族创造的优秀文明成果，就不可能屹立于世界民族之林。科技创新和转化的工作进一步抓好了，我国的经济社会发展就能具备更强大的后劲。	1999年12期_给R&D插上路标──中国IT业的研发之路.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ199912000&dbname=CJFD9902
每月话题	软件世界	1999	1999年12期		域名管理 ； 注册者 ； 英国沃达丰 ； 手机生产 ； 顶级域名 ； 手机市场 ； 比尔盖茨 ； 定点生产厂 ； 手机消费 ； 高价出售 ；	垄断就是罪，墙倒众人推１１月５日，美国联邦地方法院发布了微软一案事实的认定书，认定书认定微软公司在以×８６为基础的微机中存在着“垄断”的事实，并列举出微软“垄断”市场的３条“罪状”——Ｗｉｎｄｏｗｓ操作系统独占了巨大的市场份额；其他企业难以进入该市场；没有可替代Ｗｉｎｄｏｗｓ的产品。三大罪状实质上说的是一回事，都是因为Ｗｉｎｄｏｗｓ的称王称霸。这样的结局并不出人意外，包括微软在内都有心理准备。虽然如此，比尔盖茨还是很快就做出了反应——估计不会是数字神经系统起的作用，先是强烈抗议，然后说要和美国政府谈判，再后来就说到了微软的解体。据市场调查数据显示，Ｗｉｎｄｏｗｓ目前占据着台式计算机９６％、服务	1999年12期_每月话题.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ199912001&dbname=CJFD9902
OS:世纪情怀──对自主操作系统的议论与思考	软件世界	1999	1999年12期	【作者】 阿清 ；	自主操作 ； OS ； 计算机科学 ； 应用软件 ； 系列机 ； 康柏 ； 大型软件 ； 调试软件 ； 信息产业 ； 国内软件 ；	操作系统（Ｏｐｅｒａｔｉｎｇ　Ｓｙｓｔｅｍ，简称ＯＳ）作为计算机核心技术之一，自其诞生以来一直受到全球计算机业的高度重视。当今信息时代，随着以计算机为代表的信息产业在国家政治和经济生活中占有的地位越来越重要，操作系统及与其相关的软件和因特网技术也日渐成为世界各国关注的焦点。我国自５０年代开始计算机技术研究，建立、发展民族信息产业以来，长期坚持走独立自主的开发之路，其间经历过许多艰难与波折，在改革开放的环境下最终形成了今天这样有一定基础的产业规模。然而，我们在计算机核心技术的掌握上与其他国家相比还有不小的差距，操作系统就是其中之一。今年以来，由于多种因素的碰撞，建立自主操作系统的呼声又见高涨。一	1999年12期_OS:世纪情怀──对自主操作系统的议论与思考.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ199912002&dbname=CJFD9902
从增值服务看增值渠道	软件世界	1999	1999年12期	【作者】 张鹏 ；	高端软件 ； 东方龙 ； 行业解决方案 ； 龙马 ； 市场人员 ； 企业级软件 ； 取胜之道 ； 分销企业 ； 销售战略 ； 分销中心 ；	增值服务在高端软件分销这个领域里，昭示着一个全新的利润增长点已经形成。与其他分销模式所不同的是，在未来几年内，高端软件增值服务商不仅要保证向用户提供高附加值的产品，更要保证以服务为核心的分销渠道的增值。增值服务延伸高端软件时至今日，把增值服务作为ＩＴ市场理所当然的一部分加以接受与认同并不现实。其最重要的原因是国人对“服务有价”这个概念的理解和接受程度还模棱两可，而国内专业服务市场的规模、水平并不算太高，使用户对现实价格又颇有微词。这些因素累积起来，都造成了专业化服务实施上的艰巨性。据有关权威机构统计表明，中国ＩＴ整体市场预计从１９９５到２０００年平均年增长率为３７％，而专业服务市场同时期的年平	1999年12期_从增值服务看增值渠道.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ199912003&dbname=CJFD9902
邮购产品目录	软件世界	1999	1999年12期		产品目录 ； 英语高考 ； 多媒体课堂 ； 十万个为什么 ； 手绘图 ； 中国古代建筑 ； 素材库 ； 跟我学 ； 英语实践 ； 小学英语 ；	（一）教育学习类编号名称定价优总价（ｋ）（〕：ｔ）ＡＮｌｌ３手把手教——小学版套装门ＣＤ）３１０２２０ＡＷｌｌ４手把手教——初中版套装（４ＣＤ）２２０１６０ＡＷ１３６开天辟地１１１２５１００ＡＷ１５１英语游侠１１８ｇ４ＡＷ１５６词汇奥秘ＩＩ（ＺＣＤ１１８９４Ａｗ１７０Ｉｎｔｅｒｎｅｔ宝典２０００ｇｓ７８ＡＷ１７２翰林汇多媒体课堂——４Ｐ一年级套装新版２９８２１８加１ｕ翰林汇多媒体课堂——初二年级套装新版ｕ８ｎ８州ＩＮ翰林汇多媒体课堂——初三年级套装新版叶８扣８ＡＷ１７５翰林汇多媒体课堂——高一年级套装新版４７８３４８Ａ们兀翰林汇多媒体课堂——高二年级套装新版４沦ｙ８加１ｎ翰林汇多媒体课堂——高	1999年12期_邮购产品目录.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ199912004&dbname=CJFD9902
综合新闻	软件世界	1999	1999年12期		电子商务安全 ； 综合新闻 ； 数字证书 ； 图形加速卡 ； 业务管理系统 ； 决策支持系统 ； 信息管理平台 ； 商务解决方案 ； 思科系统 ； 软件教学 ；	我国解决计算机２０００年问题基本就继新闻追踪１１月１６日，信息产业部计算机２００年问题工作小组在京组织召开了有全国各主要行业、地区和相关测试机构的有关负责人及国外专家参加的“全国计算机２０００年问题研讨会”。工作小组组长张琪作了题为“关于我国解决计算机２０００年问题的情况介绍”的重点发言，全面总结了我国国务院各部门及全国主要地区解决计算机２０００年问题的进展情况、存在的问题及下一步工作部署，并详细介绍了于９月下旬至１１月初对全国备省、自治区、直辖市及国务院各部委、各直属机构进行的全国第三次解决Ｙ２Ｋ问题进展情况大检查的有关结果，表明我国解决计算机２０００年问题已基本就绪。中国银行业计算机系统２	1999年12期_综合新闻.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ199912005&dbname=CJFD9902
为我所用 让网络资源成为可管理的资产──访CA亚洲区市场总监郭慰祖	软件世界	1999	1999年12期	【作者】 罗特 ；	CA ； 市场总监 ； 网络安全产品 ； 网络安全防护 ； 网络资源 ； 电子商务安全 ； 内部访问 ； 证券交易所 ； 网络流量监控 ； 可用资源 ；	ＣＩＨ病毒的发作在带给人们损失的同时也敲响了数据安全防护的警钟，黑客窃取台湾证券交易所客户交易信息、纂改罗马尼亚财政部网页内容的事件则让网络安全防护再掀关注热潮，在高举防护大旗，一致抵御入侵的呐喊声中，似乎我们还忽略了什么。在眼睛盯着窗外的同时，你是否注意到身边的人正津津有味的与网友聊天或正利用邮件传递私人信息，甚或还有不安分之徒正在把企业的重要数据通过网络传给竞争对手……是的，在外防的同时我们却不同程度地忽视了内管。在网络传递资讯越来越广泛时，我们已经不能再简单的把网络视同一种技术手段，如同传真、电话一样它也是企业的一项可用资源，既然如此就要对网络资源的使用进行管理，这不仅同企业的成本相关，	1999年12期_为我所用+让网络资源成为可管理的资产──访CA亚洲区市场总监郭慰祖.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ199912006&dbname=CJFD9902
康博软件 不是老大的老大	软件世界	1999	1999年12期	【作者】 飞鸿 ；	康博 ； 北京办事处 ； 中国建设银行 ； 开发环境 ； 福布斯 ； 系统测试 ； 市场推广活动 ； 第四代语言 ； 全套解决方案 ； 成长潜力 ；	谁是软件业的老大？肯定你会说是微软。谁最具活力？可能你也说是微软。不过鼎鼎大名的《福布斯》杂志的看法却有些不一样。在今年１月１１日出版的一期杂志中，Ｃ０ｔｈＰＵＷＱＰｇ（康博软件有限公司）被评为表现最好的软件公司。当然，你可能会说：康博，我都没听说过。是啊，连我这个ＩＴ媒体的记者对康博的了解也只能说是略知一二。康博公司目前是世界第五大独立软件厂商，于ｌｇｇ６年在中国成立了办事处，但一直很少在媒体上露面。去年《软件世界》杂志刊登了一篇有关２０００年问题（ＹＺｋ）解决方案的文章，其中介绍了康博的产品。听说康博公司近一年来在中国的业绩不错，并且最近要成立中国公司，得知负责整个北亚太【业务的李香生董事	1999年12期_康博软件+不是老大的老大.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ199912007&dbname=CJFD9902
软件也要讲“硬道理”──与上海中晶总经理周荣正聊天	软件世界	1999	1999年12期	【作者】 罗添 ；	硬件产品 ； 硬件厂商 ； 专业厂商 ； 产品构成 ； 瓜型 ； 专家型 ； 销售手段 ； 电视遥控器 ； 驱动程序 ； 图像处理 ；	早就听说上海中晶电脑有限公司总经理周荣正非常健谈，最近我们有幸和周先生聊了聊天。人人都知道中晶Ｍｉｃｒｏｔｅｋ是做硬件产品扫描仪的，但是我们的话题却是围绕着软件展开的。谈话虽然是天马行空，但其中很多想法、说法和做法颇有新意，使我们受益非浅。笔者特地从中摘了两段，让我们一起来看看硬件厂商是如何看待软件的。硬件“死掉了”拿扫描仪来说，硬件拼来拼去，实际在技术上已经没有什么差距了。现代人很聪明，各厂商的独门技术就算有，也用不了两天就会被人学去，何况扫描仪硬件技术已经十分成熟了。现在最主要拼的是软件。一个硬件产品的生命由什么来决定？Ｍｉｃｒｏｔｅｈ的回答是——软件。当一个硬件产品买回来，就已经定型了。	1999年12期_软件也要讲“硬道理”──与上海中晶总经理周荣正聊天.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ199912008&dbname=CJFD9902
第三代移动通信技术漫谈	软件世界	1999	1999年12期	【作者】 长青 ；	移动通信 ； 多用户检测 ； 第三代 ； 核心网络 ； 移动台 ； 话音质量 ； 业务特性 ； 软件无线电 ； 小区广播中心 ； 多址干扰 ；	无论您是身处戈壁沙漠、深山老林，还是置身茫茫大海、冰雪高原，您是否希望可以天涯咫尺，能方便地与家人、朋友随时电视电话互访，使孤独的您仿佛又重新口到了亲朋好友身边。无论您是学富五车的学界泰斗、资深的公司业务经理还是一位爱好电脑的普通百性，当您习惯带上手机和笔记本电脑出差办公或游山玩水时，您是否想过可以丢开冗重的笔记本电脑，仅用手机直接上网测览Ｗｅｂ、发送与接收电子邮件和传真，甚至能用手机讲学、办公和演示商品，用手机进入辉煌的多媒体世界。第三代移动通信将会给人们带来方便和通信享受，使您梦想成真。第三代移动通信系统简介第三代移动通信系统（ＩＭＴ－２０００），亦即未来移动通信系统，是一代有能力彻底解决	1999年12期_第三代移动通信技术漫谈.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=RJSJ199912009&dbname=CJFD9902
