title	publish_year	description
敏捷软件开发	2004	如果说，本书是关于技术和系统开发工作管理的最重要的著作，也许会有争议；但本书确实描述了如何使用貌似简单、实则精妙无比的Scrum过程快速地构建系统。通过本书，读者...
敏捷回顾	2012	《敏捷回顾:团队从优秀到卓越之道》结合实际案例，深入阐述了敏捷回顾的基本理论和可操作性的工具、方法及流程，以帮助团队在每个迭代中检查在项目中哪些事情做得对、哪...
Ruby on Rails敏捷开发最佳实践	2008	《Ruby on Rails敏捷开发最佳实践》适用于正在使用Ruby On Rails进行应用开发的开发人员、渴望了解Ruby On Rails框架的开发人员，尤其适合有初步的Java EE开发经验，想...
JAVA敏捷开发	2007	《Java敏捷开发:使用Spring、Hibernate和Eclipse》介绍了一种将极限编程（XP）、敏捷模型驱动、重构等方法相结合的敏捷软件开发过程和软件开发需要的3种重要的技术。全...
敏捷用户体验设计	2014	这是一本关于敏捷用户体验的专著，由资深用户体验设计专家撰写，不仅系统且深入地阐释将敏捷方法用于用户体验设计的工具、方法、原则和最佳实践，而且对各种常见的问题...
SCRUM敏捷项目管理	2007	The rules and practices for Scrum--a simple process for managing complex projects--are few, straightforward,and easy to learn. But Scrum's simplicity itself-...
敏捷软件开发	2003	
敏捷软件开发	2013	Robert C. Martin、Micah Martin编著的《敏捷软件开发》中深入而生动地使用真实案例讲解了面向对象设计的基本原则、重要的设计模式、UML和敏捷方法。第一部分，从敏捷开...
如何构建敏捷项目管理团队	2012	《敏捷项目管理系列丛书•PMI-ACPSM考试指定教材•如何构建敏捷项目管理团队:ScrumMaster、敏捷教练与项目经理的实用指南》结合作者的亲身经历告诉读者如何建立一个...
平衡敏捷与规范	2005	如何取得敏捷方法与规范方法的平衡，这是一个困扰着无数软件从业人员的大问题。本书针对这一现状，直接切入有效的核心概念，为定义平衡的软件开发策略提出了建设性方案...
软件项目管理与敏捷方法	2010	《软件项目管理与敏捷方法》介绍单个敏捷实践与其他敏捷实践之间的联系，同时讲解制定实施策略的技巧。本书涉及的敏捷模式，不只是作者的个人意见，也不是从未试过的新...
敏捷开发艺术	2008	《敏捷开发艺术(影印版)》是讲解如何利用敏捷开发方法构建高价值软件的实用指南，描述了什么是敏捷开发，以及为什么它能帮助软件项目获得成功的原因。该书还将开发者、...
敏捷开发一千零一夜	2013	本书以多位作者的亲身经历，再现真实的敏捷实施过程，描述各个企业在实施敏捷的过程中，遇到的种种问题、解决的思路及最终得到的经验与教训。这本案例集从不同的视角，...
敏捷软件需求：团队、项目群与企业级的精益需求实践	2015	《敏捷软件需求：团队、项目群与企业级的精益需求实践》全面介绍了如何在敏捷环境中管理软件需求，全书共四部分24章。第I部分提出企业的敏捷需求全景图，针对项目团队、...
Visual Studio Team System更佳敏捷软件开发	2009	"VSTS赋予了微软开发团队一个强大、整合的工具集来进行敏捷开发。本书将为在现实工作里的敏捷开发环境中实现VSTS提供全面、透彻的指导。
通过整本书的案例研究，作者向我..."
可伸缩敏捷开发	2009	《可伸缩敏捷开发:企业级最佳实践》简体中文版由电子工业出版社和Pearson Education 培生教育出版亚洲有限公司合作出版。未经出版者预先书面许可，不得以任何方式复制或...
敏捷Acegi、CAS	2007	本书是关于Acegi、CAS的权威教程，是Java／Java EE安全性开发者的必备参考书。无论是Java EE安全性编程模型的背景和基础知识，还是Acegi、CAS本身，还是有关Acegi、CAS...
