21	湘邮科技敏捷型软件开发团队建设研究	郭立军	湖南大学	2013-09-17	硕士	0	66	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1014233324.nh&DbName=CMFDLAST2014&DbCode=CMFD
22	敏捷方法在软件流水线开发时间管理中的应用	周志勤	复旦大学	2008-04-22	硕士	0	228	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2009018987.nh&DbName=CMFD0911&DbCode=CMFD
23	敏捷管理方法在软件开发中的应用研究	向佐龙	武汉理工大学	2007-04-01	硕士	6	292	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2007148734.nh&DbName=CMFD9908&DbCode=CMFD
24	基于敏捷方法的A公司软件项目需求管理应用研究	陈志刚	四川师范大学	2012-04-23	硕士	4	219	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1012502083.nh&DbName=CMFDLAST2013&DbCode=CMFD
25	四川A公司软件过程敏捷管理研究	吕鹏	电子科技大学	2010-10-01	硕士	0	103	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1011055102.nh&DbName=CMFDLAST2012&DbCode=CMFD
26	基于OKRAERP软件平台的敏捷开发研究	邓冠成	湖南大学	2010-04-23	硕士	0	42	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2010238955.nh&DbName=CMFD0911&DbCode=CMFD
27	软件敏捷开发过程Scrum中的缺陷管理方法研究及应用	田清	重庆大学	2010-10-01	硕士	4	362	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1011265854.nh&DbName=CMFDLAST2012&DbCode=CMFD
28	基于敏捷开发模式下的软件测试的改进和应用	邹波	电子科技大学	2010-04-01	硕士	7	470	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2010233985.nh&DbName=CMFD0911&DbCode=CMFD
29	基于Agile的松耦合软件框架的研究与应用	刘吉林	太原理工大学	2007-05-01	硕士	2	58	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2008017902.nh&DbName=CMFD9908&DbCode=CMFD
30	敏捷软件开发的双迭代模型	谢东强	计算机应用与软件	2012-06-15	期刊	4	174	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JYRJ201206049&DbName=CJFD1112&DbCode=CJFQ
31	基于敏捷方法的软件外包人才培训研究	史健	苏州大学	2014-03-01	硕士	0	57	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1014296371.nh&DbName=CMFDLAST2015&DbCode=CMFD
32	敏捷项目管理在FTTx网管软件开发中的应用研究	高辉	上海交通大学	2012-07-01	硕士	0	83	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1013021010.nh&DbName=CMFDLAST2013&DbCode=CMFD
33	基于CMMI的敏捷软件改进过程研究	陈斌	中国海洋大学	2009-04-15	硕士	9	286	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2009172431.nh&DbName=CMFD0911&DbCode=CMFD
34	基于Scrum的软件缺陷管理系统设计与实现	于广辉	大连理工大学	2014-11-02	硕士	0	26	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1015573607.nh&DbName=CMFDLAST2015&DbCode=CMFD
35	敏捷软件开发方法在学习辅助管理系统中的应用研究	李年锁	西南交通大学	2010-06-01	硕士	0	46	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1011234005.nh&DbName=CMFDLAST2012&DbCode=CMFD
36	基于敏捷软件开发技术的血库管理系统设计与实现	罗圣松	厦门大学	2014-04-01	硕士	0	72	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1014220512.nh&DbName=CMFDLAST2014&DbCode=CMFD
37	敏捷软件开发应用研究	范洪涛	西南交通大学	2009-06-01	硕士	12	554	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2009218905.nh&DbName=CMFD0911&DbCode=CMFD
38	直真科技软件开发与管理模式	陈广安	华东理工大学	2012-04-06	硕士	1	76	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1012337931.nh&DbName=CMFDLAST2012&DbCode=CMFD
39	敏捷软件开发在新农村合作医疗系统中的研究与实现	肖武魁	中南林业科技大学	2010-06-01	硕士	0	103	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1011063280.nh&DbName=CMFDLAST2012&DbCode=CMFD
40	敏捷集成测试在应用于嵌入式系统的敏捷软件开发中的研究与实现	曾亚令	电子科技大学	2010-03-01	硕士	1	103	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2010232320.nh&DbName=CMFD0911&DbCode=CMFD
41	银河总公司软件项目敏捷管理研究	王选祥	湖南大学	2008-06-16	硕士	1	66	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2009084726.nh&DbName=CMFD0911&DbCode=CMFD
42	敏捷方法在软件项目管理中的应用	刘谦	上海交通大学	2011-05-01	硕士	5	239	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1012017576.nh&DbName=CMFDLAST2012&DbCode=CMFD
43	基于关键链的敏捷软件开发项目进度管理研究	胡丹	浙江工业大学	2013-10-01	硕士	1	114	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1014151172.nh&DbName=CMFDLAST2014&DbCode=CMFD
44	敏捷开发在软件开发中的应用研究	彭志楠	电子科技大学	2009-04-01	硕士	9	837	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2009166043.nh&DbName=CMFD0911&DbCode=CMFD
45	基于关键链技术的敏捷软件开发项目管理研究	张雪娇	华中科技大学	2011-12-01	硕士	1	208	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1013012643.nh&DbName=CMFDLAST2013&DbCode=CMFD
46	Scrum敏捷方法在湖南翼方软件项目管理中的应用研究	陈华恩	湖南大学	2014-09-05	硕士	0	25	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1015551073.nh&DbName=CMFDLAST2015&DbCode=CMFD
47	敏捷开发中软件测试改进的实现	朱杉	北京交通大学	2009-06-01	硕士	6	403	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2009204494.nh&DbName=CMFD0911&DbCode=CMFD
48	基于敏捷建模方法的软件需求分析研究及应用	严亚琼	南昌大学	2014-05-21	硕士	0	111	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1014055190.nh&DbName=CMFDLAST2015&DbCode=CMFD
49	软件开发中需求分析的探究及敏捷化需求分析的实现	郜冰	天津大学	2010-10-01	硕士	7	188	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1012008440.nh&DbName=CMFDLAST2012&DbCode=CMFD
50	敏捷项目管理在软件开发中的实践应用	沈成莉	复旦大学	2009-05-21	硕士	6	450	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2009182763.nh&DbName=CMFD0911&DbCode=CMFD
51	基于Scrum的敏捷开发方法在Sun Gard公司软件开发中的应用研究	杨军	华东理工大学	2014-09-30	硕士	0	79	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1015558824.nh&DbName=CMFDLAST2015&DbCode=CMFD
52	面向中小制造业的敏捷化管理软件研究与设计	王凌	江苏大学	2009-05-01	硕士	1	67	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2009101668.nh&DbName=CMFD0911&DbCode=CMFD
53	基于敏捷建模方法的软件需求分析研究	邓蓉蓉	武汉理工大学	2009-11-10	硕士	5	378	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2010036411.nh&DbName=CMFD0911&DbCode=CMFD
54	软件敏捷质量改进与质量成本的研究	杨勇	上海交通大学	2012-06-01	硕士	1	109	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1014008613.nh&DbName=CMFDLAST2014&DbCode=CMFD
55	基于Agile的统一软件过程的研究与设计	马敬元	北京交通大学	2008-06-01	硕士	5	140	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2008079750.nh&DbName=CMFD9908&DbCode=CMFD
56	融合敏捷思维的网管软件项目管理研究	刘正佳	复旦大学	2012-03-14	硕士	0	70	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=1013102001.nh&DbName=CMFDLAST2013&DbCode=CMFD
57	敏捷式软件开发流程及其在中小软件企业的应用	秦磊	华中科技大学	2007-10-01	硕士	6	176	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2009142912.nh&DbName=CMFD0911&DbCode=CMFD
58	零售定价软件DT Pricing敏捷维护过程及工具的研究实现	朱伟	上海交通大学	2010-04-01	硕士	0	35	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2010205225.nh&DbName=CMFD0911&DbCode=CMFD
59	软件测试在敏捷开发中的研究与应用	李阳	长春理工大学	2010-03-01	硕士	5	197	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2010080406.nh&DbName=CMFD0911&DbCode=CMFD
60	透明水晶开发方法在定制软件开发中的应用研究	汪伟	武汉理工大学	2007-04-01	硕士	1	60	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=2007148517.nh&DbName=CMFD9908&DbCode=CMFD
