55	基于Agile的统一软件过程的研究与设计	马敬元	北京交通大学	2008-06-01	硕士	5	140
56	融合敏捷思维的网管软件项目管理研究	刘正佳	复旦大学	2012-03-14	硕士	0	70
57	敏捷式软件开发流程及其在中小软件企业的应用	秦磊	华中科技大学	2007-10-01	硕士	6	176
58	零售定价软件DT Pricing敏捷维护过程及工具的研究实现	朱伟	上海交通大学	2010-04-01	硕士	0	35
59	软件测试在敏捷开发中的研究与应用	李阳	长春理工大学	2010-03-01	硕士	5	197
60	透明水晶开发方法在定制软件开发中的应用研究	汪伟	武汉理工大学	2007-04-01	硕士	1	60
61	基于Scrum敏捷开发的软件过程管理研究	王敏	昆明理工大学	2010-10-01	硕士	12	725
62	存储集群平台软件敏捷迭代测试的研究与应用	徐淑焕	重庆大学	2009-10-01	硕士	4	62
63	基于敏捷质量保证体系的Android平台软件项目管理研究	刘秋菊	上海交通大学	2013-05-20	硕士	0	50
64	软件测试在敏捷软件开发中的应用与研究	曹玲叶	华北电力大学（河北）	2006-12-30	硕士	2	456
65	敏捷项目管理在软件开发中的应用	杨智勇	上海交通大学	2014-06-01	硕士	0	153
66	敏捷需求分析方法在应用软件开发中的实践	杨春	天津大学	2010-09-01	硕士	2	192
67	敏捷软件开发量化管理工具的研究和实现	丁永伟	浙江大学	2007-05-15	硕士	3	291
68	基于SCRUM敏捷方法的SC旅服软件项目管理研究	曹靖婷	电子科技大学	2014-10-19	硕士	0	33
69	基于Scrum的敏捷软件测试模型研究与应用	陶凌燕	华中科技大学	2011-12-01	硕士	2	132
70	基于敏捷开发模式的RegisterEditor系统的实现	王芳	武汉理工大学	2013-05-01	硕士	0	51
71	敏捷开发环境下软件可靠性分析及相关问题研究	王晓华	贵州大学	2008-05-01	博士	6	936
72	敏捷建模研究及在软件项目中的应用	滕勇	长春理工大学	2006-12-01	硕士	1	160
73	基于SCRUM的小型团队软件项目开发应用与研究	谢琳	东北师范大学	2011-05-01	硕士	1	158
74	基于RUP及敏捷方法的软件过程的研究与应用	张智海	合肥工业大学	2010-04-01	硕士	2	125
75	基于敏捷思想的iOS平台软件的设计与实现	段学东	计算机技术与发展	2012-09-10	期刊	23	384
76	敏捷软件过程的研究与实践	孙丽萍	计算机工程	2007-09-05	期刊	16	350
77	敏捷开发在战机飞控系统软件研制中的应用	邵山	计算机应用与软件	2015-01-15	期刊		64
78	基于敏捷开发的持续部署系统关键技术研究	刘继超	东北大学	2013-06-01	硕士	0	31
79	敏捷项目管理在版权交易管理系统软件开发中的应用研究	曾辽原	中国科学院大学（工程管理与信息技术学院）	2014-04-01	硕士	0	48
80	U公司研发体系敏捷化研究	任小猛	广东工业大学	2014-10-18	硕士	0	51
81	中小企业智能手机软件敏捷开发管理的研究	杨开轶	北京邮电大学	2013-06-01	硕士	0	127
82	敏捷软件开发中的风险管理	丁志平	信息与电脑(理论版)	2010-01-15	期刊	6	188
83	基于敏捷方法的软件项目管理研究	关忠诚	重庆大学学报(社会科学版)	2005-11-30	期刊	34	407
84	敏捷方法在小型软件企业软件过程改进中的实践	张安勤	软件工程师	2015-11-05	期刊		7
85	基于RUP和敏捷方法的软件开发过程的研究	宋振乾	华北电力大学（河北）	2006-12-22	硕士	6	307
86	基于敏捷管理模式的软件质量度量方法研究	吴刚	价值工程	2016-05-18	期刊		35
87	探究敏捷软件开发方法在软件维护中的应用	吴月红	电脑知识与技术	2015-03-05	期刊		15
88	XP-PSP集成软件过程的研究	陆亮亮	南京大学	2012-05-01	硕士	1	28
89	基于敏捷方法的雷达系统软件测试V模型研究与改进	郝延刚	无线互联科技	2014-12-15	期刊		15
90	敏捷软件过程的研究	沈备军	计算机研究与发展	2002-11-15	期刊	61	429
91	敏捷业务定制平台的设计与实现	张鑫	电子科技大学	2014-03-25	硕士	0	7
92	网络游戏反外挂软件的敏捷项目管理与实践	张乐	中国科学院大学(工程管理与信息技术学院)	2016-02-01	硕士	0	40
93	敏捷开发在某型飞机机载软件研制中的应用	张鑫	航空科学技术	2014-06-15	期刊	0	23
94	ERP软件Scrum敏捷开发项目管理模式的设计与实现	钱红俊	复旦大学	2013-11-30	硕士	0	70
95	基于Agile的项目管理软件的研究与实现	张俊俊	北京邮电大学	2010-01-10	硕士	8	195
96	敏捷模式下软件自动化测试平台的设计与实现	石郡儒	北京交通大学	2011-06-01	硕士	2	175
97	国产软件企业敏捷动态联盟模型的构建	郑丕谔	天津大学学报(社会科学版)	2006-09-30	期刊	1	62
98	Agile Business Suite的自动测试组件开发	贺晓鸣	华东师范大学	2011-03-01	硕士	0	17
99	敏捷管理方法在软件研发项目中应用研究	蔡雷	华东理工大学	2012-10-25	硕士	0	225
100	面向敏捷软件开发的持续集成环境CIE的设计与实现	周磊	国防科学技术大学	2009-03-01	硕士	5	196
101	敏捷开发方法在检验检疫快件验放系统建设中的应用与研究	梁军峰	电子科技大学	2011-08-27	硕士	0	42
102	信息系统的容变模型设计与快速开发	吴佳明	上海交通大学	2008-01-01	硕士	0	58
103	敏捷方法在需求工程中的研究与应用	段琳琳	湖南大学	2007-11-10	硕士	6	360
104	敏捷管理在蓉园集团管理信息系统开发项目中的应用研究	王维倩	湖南大学	2005-04-10	硕士	0	189
105	敏捷开发中软件架构设计与实践	李声威	电脑与信息技术	2015-06-15	期刊		32
106	敏捷方法及微软TFS在贵州地税系列项目中的应用	张雪琼	湖北大学	2011-05-01	硕士	0	20
107	Scrum敏捷方法在HM公司软件项目管理中的应用	周文凡	华东理工大学	2012-10-27	硕士	4	603
108	BH公司软件开发项目流程管理改进研究	周利平	苏州大学	2014-03-01	硕士	0	205
109	一种敏捷的Web软件快速开发工具的设计与实现	汪滟	华中科技大学	2007-06-01	硕士	0	117
110	敏捷型软件开发方法与极限编程概述	李航	计算机工程与设计	2003-10-28	期刊	60	576
111	敏捷型项目管理在软件项目中的运用	陈望东	上海交通大学	2012-01-03	硕士	2	302
112	基于DotNetNuke构架和敏捷开发的多门户系统的研究及实践	赵炯	上海交通大学	2009-11-01	硕士	1	147
113	基于Scrum的敏捷框架在软件企业中的应用研究	巩菁菁	大连海事大学	2011-09-01	硕士	2	198
114	Rockwell产品软件测试的实现	国雪红	大连理工大学	2012-10-01	硕士	0	11
115	基于敏捷软件模式的在线教学系统研究与开发	刘朝霞	天津科技大学学报	2009-04-25	期刊	4	79
116	敏捷软件开发与计划驱动开发的概述比较	夏显鄂	计算机工程与设计	2007-08-23	期刊	7	299
117	基于构件的敏捷软件开发方法	潘悦	计算机工程	2005-08-05	期刊	11	378
118	对日软件外包成本的敏捷估算方法研究	邱恒	华北电力大学	2013-03-01	硕士	0	36
119	基于Agent面向软件重用的敏捷供应链模型	汪良主	计算机研究与发展	2002-02-15	期刊	31	195
120	结合CMMI的Scrum敏捷软件开发研究	徐伟	计算机技术与发展	2014-07-17 12:35	期刊	1	112
121	敏捷需求分析方法在航天测控软件中的应用	张帆	飞行器测控学报	2013-08-30 11:37	期刊	0	52
122	敏捷开发方法在游戏软件开发中的应用	马波	电脑知识与技术	2009-02-25	期刊	1	159
123	游戏软件的一种敏捷开发方法	黄复贤	电子科技	2005-07-30	期刊	4	137
124	敏捷Scrum模式下的SI软件测试项目质量改进研究	吴世佳	西南石油大学	2015-06-01	硕士	0	26
125	在软件工程实验教学中引入敏捷方法的探索	陈昊	计算机教育	2008-12-25	期刊	5	156
126	敏捷环境下软件开发项目的风险及其防范	关忠诚	科研管理	2005-12-30	期刊	6	224
127	敏捷测试在CRM项目中的应用研究与实践	周瑜	复旦大学	2010-09-17	硕士	0	99
128	一种敏捷开发模式下的Y测试模型的应用研究	杨晶利	华中师范大学	2009-05-01	硕士	5	133
129	P公司敏捷软件过程改进的关键成功因素分析	袁伟华	华南理工大学	2010-11-17	硕士	1	150
130	即时通讯软件的敏捷开发过程	赵宏华	上海交通大学	2011-11-01	硕士	0	122
131	敏捷开发方法在汽车仪表软件研发中的应用	谢超	汽车零部件	2014-03-28	期刊	0	16
132	基于SCRUM敏捷开发过程的软件测试的研究与应用	蔡芳	北京邮电大学	2008-09-01	硕士	3	318
133	敏捷软件开发过程改进的行动框架	赵熙朝	信息技术与标准化	2007-02-10	期刊	8	268
134	敏捷软件开发图书概览	李默	程序员	2006-05-01	期刊	0	49
135	基于敏捷软件开发方法的基金管理信息系统开发	芮雄健	计算机应用	2004-11-28	期刊	20	224
136	改造敏捷模型在高校软件开发中的实践	高志升	电脑知识与技术	2010-03-05	期刊	2	60
137	基于敏捷开发过程SCRUM的软件测试的研究	周小淳	西北工业大学	2007-03-01	硕士	4	435
138	基于敏捷软件开发的软件工程教学研究	管林挺	计算机时代	2009-08-02	期刊	2	199
139	SCRUM在CZPOS软件开发管理中的应用研究	刘建铭	华南理工大学	2015-05-28	硕士	0	23
140	基于GJB5000A的软件敏捷开发在装备研制中的应用	邱卫新	雷达与对抗	2015-06-15	期刊		14
141	软件自动化测试集成系统的研究与实现	孙杨	西安电子科技大学	2012-02-01	硕士	2	107
142	秦职院校园管理系统开发项目规划方案设计与实施研究	李瀛	燕山大学	2015-12-01	硕士	0	16
143	中小软件项目中基于敏捷过程域控制的QA外包探索	池震奇	软件产业与工程	2011-11-10	期刊	1	22
144	HMI软件开发项目的管理和质量控制	庄宏	大连理工大学	2013-05-20	硕士	2	145
145	“共识”意识对于敏捷软件开发的重要性研究	梁丹	包装工程	2015-07-20	期刊		30
146	一种软件的敏捷制造组织与过程模型	陈启愉	机电工程技术	2004-06-30	期刊	0	52
147	敏捷环境下软件项目风险管理系统的开发	郑军威	上海交通大学	2009-05-01	硕士	4	99
148	软件开发生命周期法比较之敏捷与传统	张志丽	电脑开发与应用	2013-12-25	期刊	0	75
149	敏捷软件开发应用研究	栾好利	沈阳工程学院学报(自然科学版)	2010-04-15	期刊	5	170
150	敏捷方法在软件项目开发中的实践	赵剑冬	计算机工程与设计	2007-06-23	期刊	26	454
151	基于构件的敏捷软件开发管理工具的研究与设计	宁静峰	长春工业大学学报(自然科学版)	2008-02-15	期刊	7	171
152	基于Agile方法的软件架构设计与实现	刘建峰	计算机应用研究	2004-08-28	期刊	5	141
153	敏捷开发及在企业级Portal中的应用	吕仁琦	浙江大学	2007-05-12	硕士	6	206
154	移动业务支撑系统资源管理的设计与实现	张翔宇	吉林大学	2010-04-01	硕士	0	110
155	6 Sigma管理在敏捷软件开发中的应用	徐琳	计算机系统应用	2011-06-15	期刊	3	86
156	面向数字标准测试领域的敏捷软件开发方法的研究	付小龙	现代教育技术	2010-12-15	期刊	0	47
157	基于敏捷方法的软件任务管理系统设计与实现	王四云	现代计算机(专业版)	2015-06-05	期刊		11
158	敏捷方法在软件开发过程中的实践	隋立江	航空制造技术	2011-05-15	期刊	7	114
159	基于在线检测技术的敏捷软件开发方法的模型	徐琳	计算机系统应用	2010-12-15	期刊	0	50
160	XP—适合中小型软件系统的敏捷方法	冯山	西南石油学院学报	2003-12-30	期刊	9	95
161	面向大型分布式软件项目的敏捷开发模型研究	高松涛	办公自动化	2011-07-15	期刊	1	97
162	基于软件需求分析的手机软件系统质量度量方法研究	舒景波	中国科学院大学（工程管理与信息技术学院）	2014-04-01	硕士	0	87
163	Scrum软件开发方法在ROSS公司的应用研究	张巍崴	华东理工大学	2013-10-20	硕士	0	122
164	改进的敏捷方法在网络接入设备测试中的应用	余欣苑	华中科技大学	2009-05-01	硕士	1	32
165	中小软件企业的敏捷开发之道	舒强	科技情报开发与经济	2009-02-25	期刊	14	273
166	几种常见的敏捷软件方法综述	聂华北	计算机系统应用	2008-12-15	期刊	11	263
167	敏捷项目管理系统的设计与实现	郭睿	吉林大学	2011-05-01	硕士	1	220
168	敏捷开发在高校软件项目中的应用研究	侯俣	世界科技研究与发展	2009-04-30	期刊		6
169	Scrum敏捷开发在软件开发综合实训课程中的研究与探索	赵爱美	计算机时代	2015-11-15	期刊		21
170	基于敏捷软件过程的债权管理系统开发	段琳琳	微计算机应用	2011-01-15	期刊	2	40
171	计划驱动下敏捷开发过程的软件质量管理	商惠华	汕头大学学报(自然科学版)	2011-11-15	期刊	6	118
172	基于Jazz的敏捷开发过程管理平台的设计与实现	王琼	北京工业大学	2013-06-01	硕士	1	137
173	面向敏捷开发项目的工作量估算模型的研究与应用	程博	北京工业大学	2012-06-01	硕士	1	255
174	敏捷模式在新版海员证系统开发管理中的应用	卢海珍	上海海事大学	2007-06-01	硕士	1	40
175	软件项目范围的敏捷管理模式		项目管理技术	2009-06-15	期刊	2	183
176	敏捷开发在LICENSE管理平台项目中的应用实践	郎高一	浙江工业大学	2015-12-01	硕士	0	18
177	敏捷软件开发过程中重构技术的研究	徐照兴	煤炭技术	2012-11-10	期刊	0	58
178	IT企业敏捷开发中基于优先级的需求管理	吴海静	复旦大学	2012-03-01	硕士	2	253
179	一种改进的Scrum敏捷软件开发方法	杨帆	电子技术	2011-09-25	期刊	10	194
180	敏捷开发软件模式初探	姚立新	电子技术与软件工程	2013-11-27 11:51	期刊	0	126
181	基于敏捷开发的全球化测试的设计与实施	巴堤曼	北京邮电大学	2011-05-01	硕士	1	135
182	国之源基础教育信息化软件产品研发项目管理研究	谢建文	湖南大学	2009-11-12	硕士	1	167
183	基于Scrum敏捷开发的软件实训设计	尹华	计算机教育	2016-06-10	期刊		29
