20	软件工程课程的几种教学方法探讨	李小波	电脑知识与技术	2015-12-28 10:29	期刊		25	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DNZS201526053&DbName=CJFDLAST2016&DbCode=CJFQ
21	软件工程专业和计算机软件与理论专业的内涵与反思	王文剑	高等理科教育	2015-12-20	期刊	1	85	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=GDLK201506016&DbName=CJFDLAST2016&DbCode=CJFQ
22	电子技术与软件工程		电子技术与软件工程	2015-12-01	期刊		5	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZRU201523227&DbName=CJFDLAST2016&DbCode=CJFQ
23	《软件工程 功能规模测量 MkII功能点分析方法》标准解读	滕逸龙	信息技术与标准化	2015-11-10	期刊		32	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=DZBZ201511018&DbName=CJFDLAST2016&DbCode=CJFQ
24	基于CDIO模式的软件工程实践教学课程建设的研究	陈澎	软件工程	2016-01-05	期刊	1	52	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=ZGGC201601001&DbName=CJFDLAST2016&DbCode=CJFQ
25	融合式的实践教学在软件工程专业中的应用	罗晓霞	科教导刊(上旬刊)	2016-01-11 13:35	期刊		26	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=KJDS201512048&DbName=CJFDLAST2016&DbCode=CJFQ
26	软件工程全日制专业硕士课程体系改革探讨	马巧梅	计算机时代	2016-01-15	期刊		38	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=JSJS201601021&DbName=CJFDLAST2016&DbCode=CJFQ
27	软件工程教学中基于游戏的模拟教学法及其应用分析	王静	科教文汇(中旬刊)	2016-01-20	期刊	2	28	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=KJWZ201601028&DbName=CJFDLAST2016&DbCode=CJFQ
28	全覆盖创新教育模式的探索与实践——软件工程专业创新教育模式的实践	吴祖峰	科教导刊(中旬刊)	2016-01-15	期刊	1	22	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=KJDK201601016&DbName=CJFDLAST2016&DbCode=CJFQ
29	软件工程教学法研究与实践	张菊	无线互联科技	2015-11-10	期刊		18	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kns55/detail/detail.aspx?recid=&FileName=WXHK201521043&DbName=CJFDLAST2016&DbCode=CJFQ
