title	journal_name	year	issue	author	keywords	summary	pdf_filename	article_url
SH-9305工业控制器应用	计算机时代	1994	1994年04期	【作者】 殷作为 ； 麻红昭 ； 【机构】 浙江商检局 ； 浙江大学化工系 ；	工业控制器 ； 操作系统 ； 抗干扰 ；	本文叙述SH-9305工业控制器硬件、软件的设计思想以及采用的抗干扰措施。	1994年04期_SH-9305工业控制器应用.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199404000&dbname=CJFD9498
一种仪表式微机监控系统	计算机时代	1994	1994年04期	【作者】 郑维爱 ； 【机构】 杭州市工人业余大学 ；	微机监控系统 ； 温度变送器 ； 自动监控系统 ； 人工调节 ； 看门狗电路 ； 模块式 ； 集成电路块 ； 规定范围 ； 软件控制 ； 模拟电压信号 ；	本文介绍一种以MCS-96系列单片机为主的微机监控系统,采用模块式温度变送器等大规模集成电路,相当于一台仪表。	1994年04期_一种仪表式微机监控系统.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199404001&dbname=CJFD9498
电业局管理信息系统的设计与开发	计算机时代	1994	1994年04期	【作者】 卢爱菊 ； 涂光瑜 ； 孙扬声 ； 【机构】 华中理工大学 ； 华中理工大学 ；	管理信息系统 ； 设计过程 ； FOXPRO ； 数据库产品 ； 数据库开发 ； 设备台帐 ； 索引文件 ； 局域网络 ； 共享数据库 ； 数据库设计 ；	本文叙述某地区电业局管理信息系统的软件和硬件环境、设计思想、系统特点和功能,介绍利用NOVELL局域网络和FOXPRO数据库开发管理信息系统的实例。	1994年04期_电业局管理信息系统的设计与开发.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199404002&dbname=CJFD9498
乡镇企业职工考核管理系统的设计与实现	计算机时代	1994	1994年04期	【作者】 王于同 ； 陈临强 ； 【机构】 杭州电子工业学院 ； 杭州电子工业学院 ；	企业 ； 考核 ； 管理系统 ； 设计 ； 实现 ；	本文介绍了乡镇企业职工考核管理系统的设计思想、系统的特点、系统功能模块及其实现。	1994年04期_乡镇企业职工考核管理系统的设计与实现.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199404003&dbname=CJFD9498
银行数据分析决策系统的实现	计算机时代	1994	1994年04期	【作者】 陆菁 ； 【机构】 嘉兴市建设银行 ；	决策系统 ； 管理信息 ； 会计核算系统 ； 信息系统 ； 数据分析 ； 三级机构 ； 对公 ； 异步通讯 ； 系统应用软件 ； 决策依据 ；	<正> “银行数据分析决策系统”是建行内部用于业务科学管理的计算机信息系统,并与建设银行总行版会计核算系统接轨。该系统以建行会计对公、报表等数据为主要依据,对下属各经办网点的原始数据进行采集,批量传输及加工处理,从而及时、准确、方便地为各级管理部门提供大量日常管理信息和分析信息,并为领导部门提供决策依据。适合建行系统地市-县-分理处,三级机构使用。	1994年04期_银行数据分析决策系统的实现.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199404004&dbname=CJFD9498
几种数据分布设计方法的比较与进一步探讨	计算机时代	1994	1994年04期	【作者】 丁莹 ； 【机构】 南京市传染病防治院 ；	数据分布 ； 分布式数据库 ； 设计方法 ； 更新操作 ； 业务管理系统 ； 分段方法 ； 同步更新 ； 应用系统 ； 通讯费用 ； 分割式 ；	<正> 分布式数据库系统是在计算机网络的基础上发展起来的,现在已经成为信息处理中的一个重要领域。分布式数据库的本质应用就是对分布于网络中各站点的数据进行各种不同要求的处理。 无论是出于对经济的考虑,还是出于对数据存贮、处理的性能要求,数据应如何分布始终是人们所关心的一个重要问题。因而数据分布设计一直是分布式数据库系统设计中的一个主要方面。数据分布设计一般有集中式、重复式、分割式和分段几种方法。本文就这几种方法进行分析、比较,并在此基础	1994年04期_几种数据分布设计方法的比较与进一步探讨.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199404005&dbname=CJFD9498
分布式MIS查询分解优化的研究实现	计算机时代	1994	1994年04期	【作者】 于功弟 ； 潘宏 ； 【机构】 西南交通大学 ； 西南交通大学 ；	分布式MIS ； 查询分解 ； 传输 ； 优化 ；	本文从理论上详细分析讨论了分布式MIS四大关键问题之一的查询分解优化算法的定义和原理,最后结合应用实例叙述了算法的设计和实现。	1994年04期_分布式MIS查询分解优化的研究实现.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199404006&dbname=CJFD9498
如何用汇编语言控制发声	计算机时代	1994	1994年04期	【作者】 管丽 ； 【机构】 北京师范大学 ；	音响 ； 背景声 ； 汇编语言 ；	本文介绍如何用汇编语言控制任意频率的发声、以及如何由程序来控制背景声	1994年04期_如何用汇编语言控制发声.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199404007&dbname=CJFD9498
浅谈DOS的发展前景	计算机时代	1994	1994年04期	【作者】 杨红颖 ； 王向阳 ； 【机构】 本溪师范专科学校计算机室 ； 吉林工业大学研究生部9206 ；	DOS ； 工作模式 ； 安全保护 ； UNIX ； 发展策略 ；	本文详细地剖析了DOS操作系统在系统工作模式、存储管理、I/O控制、可重入性及安全保护等方面的缺陷,进而阐明了DOS所面临的挑战及其发展策略,客观地分析了DOS操作系统的发展前景。	1994年04期_浅谈DOS的发展前景.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199404008&dbname=CJFD9498
首届中国计算机艺术研讨会暨作品及其制作系统展示将于明春在京举行	计算机时代	1994	1994年04期	【作者】 李建民 ；	艺术研讨会 ； 中国计算机学会 ； 国家科委 ； 学科交叉渗透 ； 广告制作 ； 系统推广应用 ； 电子信息 ； 动画制作 ； 千人 ； 图案设计 ；	<正> 中国计算机学会、国家科委工业科技司、国务院原电子信息系统推广应用办公室联合举办的首届中国计算机艺术研讨会暨作品及其制作系统展示将于1995年春在北京举行。 计算机在艺术领域中的应用,在我国还是崭新的,是两个完全不同的行业与学科交叉渗透的新领域。目前,全国从事计算机艺术及其应用的单位有千余家,科技人员数千人,研究院所、大学数十家。面向商业领域,有计算机美术图案设计和动画制作(含广告制作),如编织、刺绣、服	1994年04期_首届中国计算机艺术研讨会暨作品及其制作系统展示将于明春在京举行.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199404009&dbname=CJFD9498
