《软件工程》项目型教学模式的探索	计算机时代	2008	2008年04期	【作者】 阳王东 ； 祝青 ； 邓艳智 ； 【机构】 湖南城市学院计算机科学系 ； 湖南城市学院计算机科学系 湖南益阳413000 ； 湖南益阳413000 ；	软件工程 ； 项目 ； 教学 ； 考核 ；	项目型教学模式实现了课程教授与学生的实际运用相同步,让学生在软件项目任务中,通过项目所需的知识点与教学内容的结合,把被动接受知识变为主动探求知识,把无目标学习变为为实现项目目标及完成项目任务而学习。项目型教学模式在项目中全方位考核学生的素质和能力。	2008年04期_《软件工程》项目型教学模式的探索.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200804030&dbname=CJFD0608
卓越软件工程师课程与教材建设探讨	计算机时代	2012	2012年12期	【作者】 任一支 ； 俞兰平 ； 【Author】       Ren Yizhi1,Yu Lanping2(1.Software Engineering School,Hangzhou Dianzi University,Hangzhou,Zhejiang 310018,China;2.Information Engineering School,Hangzhou Dianzi University) 【机构】 杭州电子科技大学软件工程学院 ； 杭州电子科技大学信息工程学院 ；	卓越工程师 ； 课程和教材建设 ； 软件工程 ； 课程群 ； 创新能力 ； excellent engineers ； course and its material construction ； software engineering ； course groups ； innovation ability ；	结合卓越工程师教育培养计划,从学生发展,课程群,专业特色凝练,平台制度建设以及资源共享等方面,探讨了软件工程专业本科层次课程与教材建设改革,以期对同类院校开展软件工程卓越工程师教育培养计划有所借鉴和启发。	2012年12期_卓越软件工程师课程与教材建设探讨.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS201212026&dbname=CJFDLAST2013
基于.NET Remoting的软件测试教学训练系统设计与实现	计算机时代	2012	2012年10期	【作者】 罗高健 ； 贾仁耀 ； 李媛丽 ； 【Author】       Luo Gaojian,Jia Renyao,Li Yuanli(Electronic Engineering Institute,Hefei,anhui 230037,China) 【机构】 电子工程学院软件工程中心 ；	.NET Remoting ； 软件测试 ； 教学训练 ； .NET Remoting ； software testing ； teaching and training ；	介绍了.NET Remoting技术的基本原理和框架;针对软件测试流程和教学训练的特点,研究和设计了一套基于.NET Remoting技术的软件测试教学训练系统;介绍了该系统的实现方法。	2012年10期_基于.NET+Remoting的软件测试教学训练系统设计与实现.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS201210023&dbname=CJFD1112
基于社会需求和通用职业标准的软件人才培养方案	计算机时代	2012	2012年07期	【作者】 陈振 ； 张波 ； 宁矿凤 ； 【Author】       Chen Zhen,Zhang Bo,Ning Kuangfeng(Department of Computer Science and Technology,Hunan International Economics University,Changsha,Hunan 410205,China) 【机构】 湖南涉外经济学院计算机学部 ；	普通本科院校 ； 软件人才 ； 工程能力 ； 培养方案 ； 优势与特色 ； ordinary colleges ； software talent ； engineering capability ； training plan ； advantage and characteristic ；	遵循"实事求是,可雇佣性,培育优势,打造特色,注重专业人才培养的适切性"的原则,制定了普通本科院校在构建软件工程人才培养方案,按照企业对软件人才能力要求构建人才能力培养链,努力提高学生的工程实践能力,全面提高学生专业就业品质,以此提升专业办学竞争力。	2012年07期_基于社会需求和通用职业标准的软件人才培养方案.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS201207022&dbname=CJFD1112
创新平台下软件工程实验教学模式探索	计算机时代	2012	2012年07期	【作者】 杜莹 ； 程普 ； 杜小玉 ； 【Author】       Du Ying1,Cheng Pu2,Du Xiaoyu3(1.College of Computer and Information Engineering,Henan University,Kaifeng,Henan 450004;2.Computer Center,Henan University;3.Foundation laboratory Center,Henan University) 【机构】 河南大学计算机与信息工程学院 ； 河南大学计算中心 ； 河南大学基础实验中心 ；	软件工程 ； 创新平台 ； 实验教学 ； 团队建设 ； software engineering ； innovation platform ； experimental teaching ； team construction ；	针对软件工程实践教学中存在的问题,结合大学生科技创新平台的实施,从实验课题选择、软件过程模型选择、团队建设、开源资源利用等方面提出软件工程实验模式的改革方案;并且给出了部分实施细节。	2012年07期_创新平台下软件工程实验教学模式探索.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS201207024&dbname=CJFD1112
教学信息系统中的教学过程管理	计算机时代	2012	2012年03期	【作者】 江颉 ； 董天阳 ； 陈铁明 ； 王小号 ； 【Author】       Jiang Jie,Dong Tianyang,Chen Tieming,Wang Xiaohao(College of Computer Science & Technology,Zhejiang University of Technology,Hangzhou,Zhejiang 310023,China) 【机构】 浙江工业大学计算机科学与技术学院 ；	教学过程管理 ； 软件工程 ； 流媒体 ； 教学信息系统 ； teaching process management ； Software Engineering ； streaming media ； teaching information system ；	为了解决通用教学信息系统在面向工程类课程的教学服务中缺乏教学过程设计问题,在信息系统中增加教学过程管理功能,以高校软件工程课程在教学过程中所体现出的特点为例扩展了传统的教学信息系统。系统增设了教学进度安排和自动监控、以流媒体技术实现的案例资源多媒体展示、word格式的软件工程文档在线填写以及与学习过程相结合的教学质量检测和教学成绩评定功能。论文概述了系统增设模块中所采用的主流技术,并展示了系统实现的主要原型界面。	2012年03期_教学信息系统中的教学过程管理.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS201203007&dbname=CJFD1112
软件工程定制式人才培养模式的探讨	计算机时代	2012	2012年02期	【作者】 张兆印 ； 陈超 ； 曲晓峰 ； 王楠 ； 【Author】       Zhang Zhaoyin,Chen Chao,Qu Xiaofeng,Wang Nan(School of Computer Science and Technology,Heilongjiang University,Haerbin,Heilongjiang 150080,China) 【机构】 黑龙江大学计算机科学技术学院 ；	定制式 ； 软件工程 ； 人才培养模式 ； 教学改革 ； customized ； software engineers ； talent-training mode ； teaching reform ；	结合黑龙江大学软件工程专业人才培养模式及学生就业情况,针对软件高级技术人才需求现状,采取"定制式"人才培养模式,与用人单位共商人才培养方案,签订校企"定制式"人才培养协议。构建以就业为导向,以能力培养为主线,以素质培养为基础,以"综合素质高,业务能力强,应用上手快,发展后劲足"为目标,探索产学结合、校企合作办学的道路,不断深化教育教学改革,努力提高人才培养质量。	2012年02期_软件工程定制式人才培养模式的探讨.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS201202018&dbname=CJFD1112
UML在关系数据库设计中的应用	计算机时代	2006	2006年12期	【作者】 刘志成 ； 应时 ； 黄格飞 ； 【机构】 湖南铁道职业技术学院信息工程系 ； 软件工程国家重点实验室武汉大学软件工程研究所 ； 湖南株洲职工大学信息技术系 湖南株洲412001 ；	UML ； 关系数据库 ； 设计 ； 映射 ；	分析了UML建模和关系数据库设计的关系;说明了应用UML进行关系数据库设计的优点和基本过程;最后结合实例给出由UML类图映射到关系数据库的基本策略,从而实现对象的持久性存储。面向对象模型和关系模型紧密结合为信息系统的成功开发提供了良好的保障。	2006年12期_UML在关系数据库设计中的应用.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200612022&dbname=CJFD0608
软件工程与课程实践	计算机时代	2006	2006年12期	【作者】 王竹云 ； 【机构】 浙江财经学院 浙江杭州310018 ；	课程特点 ； 教学改革 ； 因材施教 ； 课程整合 ；	文章根据《软件工程》的特点,给出了教学改革与课程实践的方案。方案实施结果表明,学生的综合素质明显增强,就业情况普遍较好。	2006年12期_软件工程与课程实践.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200612030&dbname=CJFD0608
计算机时代2006年总目录	计算机时代	2006	2006年12期		计算机时代 ； 数据挖掘 ； 图像纹理 ； 软件设计师 ； 数据库安全 ； 软件工程方法 ； 文档管理系统 ； 多维关联规则 ； 软件体系结构 ； 信息系统集成 ；		2006年12期_计算机时代2006年总目录.pdf	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200612033&dbname=CJFD0608
