中小软件企业如何面对CMM		计算机时代	2001	2001年08期	１引言 软件企业实施ＣＭＭ认证，是近期讨论较多的一个问题，尤其是国务院１８号文件的颁布及各省市对软件企业的政策倾斜，更升温了软件企业认证的热情。但中国的软件企业大多数是中小软件企业（开发人员少于５０人），那么中小软件企业应如何看待 ＣＭＭ呢？是否都要 ＣＭＭ认证呢？这是本文想讨论的问题。 软件能力成熟度模型 ＣＭＭ（Ｃａｐａｂｉｌｉｔｙ Ｍａｔｕｒｉｔｙ Ｍｏｄｅｌ）是美国卡内基－梅隆大学软件工程研究所（ＣＭＵ／ＳＥＩ）的Ｗ．Ｓ． Ｈｕｍｐｈｒｅｙ等人在美国国防部支持下于 １９８６年提出，并于１９９１年发布ＳＥＩＣＭＭ１．０， １９９３年发布ＳＥＩＣＭＭ１．１（或称ＳＷ－ＣＭＭ）。ＣＭＭ模型是	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200108015&dbname=CJFD9902
C程序的几种调试方法		计算机时代	2003	2003年11期	本文针对学生编程中常见的各类错误,结合典型例程,介绍了调试C程序的方法。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200311011&dbname=CJFD0305
软件考试复习指导—推荐书目和网站		计算机时代	2003	2003年10期	1系统分析员参考书目1)软件工程[1]王春森主编.系统设计师(高级程序员)教程(第四章).清华大学出版社,2001.[2]郑人杰主编.软件工程(高级).清华大学出版社,1999.    2)综合知识[1]罗晓沛.计算机综合应用知识(数学、管理等).清华大学出版社,2001.    3)计算机网络[1]胡道元主编.计算机网络(高级)[Internet,安全等].清华大学出版社,1999.    4)系统分析[1]罗晓沛,侯炳辉主编.系统分析员教程.清华大学出版社,2003.[2]J.L.Whitten等著.系统分析与设计方法[第五版].高等教育出[3]J.W.Satzinger等著.系统分析与设	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200310011&dbname=CJFD0305
近年全国计算机软件考试中系统分析员论文主题回顾		计算机时代	2003	2003年10期	软件工程专题2002年:软件质量保证2001年:需求分析方法与工具的选用2000年:软件测试的策略与环境软件维护的组织与实施1999年:软件开发环境的选用和建立软件开发过程中的配置管理技术数据库专题2002年:数据仓库的设计与实现实时系统与信息系统的集成技术2000年:基于Web的数据库应用系统开发技术1999年:改进数据库应用系统的性能网络应用专题2002年:中间件技术在软件开发中的作用2001年:Java技术在因特网平台的应用2000年:企业网络计算的组成与特性1999年:企业内部网的系统集成技术新技术专题近年全国计算机软件考试中系统分析员论文主题回顾@杨杨	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200310027&dbname=CJFD0305
论软件质量保证		计算机时代	2003	2003年09期	不用实施CMM,不用引进RUP(RationalUnifiedProcess),在中小型软件企业如何实施软件过程改进,以提高软件开发质量。这是值得探讨的问题。本文通过在企业内部实施文档模板化、加强技术评审和适当地引进辅助工具三个方面,讨论针对中小型企业的薄弱环节实施质量改进方法,切实降低了项目风险,保证了软件开发质量。本文还着重阐述了如何进行技术评审而不流于形式、走过场以及如何有针对性地引入辅助工具来提高开发和管理工作的效率,对于中小型软件企业在规范公司内部开发过程、提高软件质量和降低项目风险等方面,有一定的借鉴作用。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200309011&dbname=CJFD0305
浅谈软件开发中的需求开发及其管理		计算机时代	2003	2003年08期	本文主要从软件工程理论和作者实际开发经验两方面说明需求是软件开发的关键阶段。首先从软件开发需求的定义、类型以及需求分析的主要任务、需求开发和管理的一般步骤等几个方面来介绍一般概念和方法,然后通过一个应用实例介绍如何写好作为需求分析阶段里程碑的需求规格说明书。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200308012&dbname=CJFD0305
面向对象的螺旋开发模型的应用		计算机时代	2003	2003年07期	本文主要结合面向对象技术和软件工程的思想,提出面向对象的螺旋开发模型。在介绍了此模型的原理、组成结构和实施过程之后,结合投资理财系统的开发对模型给予了具体的实现。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200307017&dbname=CJFD0305
新一代互联网—网格的发展和研究		计算机时代	2003	2003年02期	针对互联网的第三次浪潮-网格的出现,介绍了网格的产生、历史和发展,并对网格的应用加以阐述。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200302003&dbname=CJFD0305
软件工程中几种常用软件生命周期模型的简介		计算机时代	2003	2003年01期	本文简单介绍了软件工程中几个常用的软件生命周期模型,包括瀑布模型、原型法模型、喷泉模型、边做边改模型和增量模型,描述了他们的主要内容和特点。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200301008&dbname=CJFD0305
计算机软件专业技术资格和水平考试备考指南		计算机时代	2002	2002年09期	一年一度的中国计算机软件专业技术资格与水平考试越来越临近了，如何备考一定是广大考生最为关心的问题。参加软件考试除了必须根据考试大纲和指定用书进行全面复习外，还应详细了解试卷的结构、题型、重点和难度等情况。本文根据笔者对软件考试大纲和指定用书的理解和多年来参与软件考试考前辅导和阅卷工作的体会，参照全国软件考试办公室网上公布的信息，分别对各个考试级别作一简单介绍，以飨读者。１初级程序员级初级程序员级考试分上、下午两场进行，每场120分钟。上午试题侧重基础知识，题型均为4选1的选择填空题，共60空，每空1分。主要内容包括：基本数据结构，如数组、队列、栈等的定义、存储与操作；程序语言基本概念；操作系统	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200209017&dbname=CJFD9902
医院资源计划(HRP)产品研发路线		计算机时代	2002	2002年09期	通过对软件产品研发技术的新进展的探讨,提出基于构件的标准化生产医院资源计划(HRP)产品研发思路。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200209022&dbname=CJFD9902
论面向对象方法与关系数据库的结合		计算机时代	2002	2002年06期	本文分析了数据库系统中对象化和可视化设计与数据关系化之间的矛盾,提出了解决问题的思路:将数据字典发展为对象字典,描述类的派生结构、属性类型、行为模式和事件响应方式,在关系模型的基础上构造对象模型,将RDBMS作为ODBMS来使用;用BLOB字段中的Hash结构来固化对象特性,并使用流对象来写入和再现属性值。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS200206001&dbname=CJFD9902
人机界面设计的规范化方法探微		计算机时代	1998	1998年05期	本文从用户的观点出发,阐述了人机界面设计类型及相应的设计准则,由此给出了界面设计的规范化方法.	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199805003&dbname=CJFD9498
WIN32下动态对话框的生成		计算机时代	1998	1998年03期	动态对话框是Windows开发环境下一种强有力的技术。本文探讨了如何在WIN16及WIN32编程环境下实现动态对话框的细节和要点并给出了一个可以任意扩展的实例。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=JSJS199803001&dbname=CJFD9498
全国主要城市微机和办公自动化产品最低报价		中国计算机用户	1994	1994年08期	(慧聪商情网7月9日14城市联网数据)单位:元类别品牌/型号城市批发零售企业名称企业电话(、()MpAQ I)ESKPK()4/33M内存4M}{硬盘120MB软驱1.2MB+1.44MB上海-南京It京天津武汉西安济南2450() ————2450024000255002580027500248u()255002550026200268002820029000中外合作A.I.M电脑公司中科院南京希望电脑技术公司海兴电子设备公司中国电于器材天津公司通讯电脑部武汉市江岸区通用电器公司西安市先锋电子技术公司山东中创软件工程有限公司40303374d1079d25710967303309783298	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS199408033&dbname=CJFD9498
征文选登		中国计算机用户	1995	1995年07期	<正> 十年来,你一直是我学习、工作和生活中的良师益友。记得一次单位与宜昌市商场签订了一项关于建立“宜昌市商场自动化管理”的协议,单位领导让我写可行性报告,我赶紧查阅了《中国计算机用户》杂志和其他资料,顺利完成了这个报告,受到了单位领导和宜昌市商场领导的重视,并且让我在这个项目中担任了重要角色。在你的帮助下,我先后参加过三项大型软件工程项目的开发工作,独立完成了四项中、小型软件管理项目的研究开发,为单位创收达6万多元。 1987年底,由于工作需要我借调到“宜昌七环电脑开发部”工作。《中国计算机用户》杂志成了我必看的一本工具书,杂志中的“经验技巧”是我最喜欢的栏目之一。当时,宜昌地区的电脑事业并不发达,电脑维修业也跟不上去,而用户最头痛的就是维修问题。我把《中国计算机用户》杂志上刊登的别人遇到的计算机故障现象和解决办法一一用卡片的方式做了记录,遇	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS199507004&dbname=CJFD9498
程序员开发工具市场预测与发展趋势		中国计算机用户	1995	1995年02期	<正> 这份报告研究专业程序员开发应用程序所用的各种工具的市场前景和发展趋势。涉及的工具包括数据库工具,第4代语言和报告生成程序,计算机辅助软件工程(CASE),第3代语言和编程公用软件,人工智能(AI)和专家系统建造工具,以及其他的应用开发工具。主要结论是:在1993～1998年间,其总销售额将从161.35亿美元增至334.28亿美元,平均每年递增15.7％;其中面向对象的工具增长最快,年递增率达56％,从占总市场份额的2.7％上升到12％;数据库管理系统(DBMS)占	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS199502018&dbname=CJFD9498
《中国计算机用户》1997年总要目		中国计算机用户	1997	1997年36期	●技术热点新年话信息技术……………………………………………(第1期)流动智能体…………………………………………………(第2期)数字革命与计算机动画…………………·:…………….(第3、4期)20个预寿……一…………………………………………·(第3、4期)Back()ffice服务器家族与Normandy平台………………(第3、4期)你的下一代操作系统……………………………………(第3、4期)多媒体与,Interact………………………………………··{第3、4期)通向家庭的宽带之路……………………………………··<第6期)基于www的信息挖掘……………·……………………··(第7期)Web出版	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS199736039&dbname=CJFD9498
轻松一刻		中国计算机用户	1997	1997年35期	<正> 电影中的计算机 电影中的计算机都是这样: 1.字处理软件从来不显示光标。 2.当你输入一个长句子时,决不会用到空格键。 3.电影演员从来不会犯拼写错误。 4.所有的屏幕都显示1英尺高的字符。 5.高技术的计算机,例如那些用在NASA、CIA或其他政府部门的计算机,都有简单易用的图形界面。 6.至于那些没有图形界面的计算机,则都有着能力超凡的字符型界面,它能正确理解并执行用自然语言敲入的命令。 7.只需要敲入“读出秘密文件”	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS199735005&dbname=CJFD9498
一个WWW上“断点续传”软件		中国计算机用户	1997	1997年24期	<正> Internet对于电脑爱好者来说,最吸引人的莫过于它那无穷无尽的软件资源。这些软件出自各国优秀的软件工程师们之手。这些软件工程师们将自己辛勤的劳动无私奉献出来,共同推动了世界计算机产业的发展。而众多“网虫”则漫游在网络的各个角落,搜寻着这些优秀的软件并下载它们。 然而这些下载工作并非一帆风顺,由于网络的不稳定,数据传送的阻塞,用户电信线路质量差以及本身系统和应用的崩溃等等原因,都会导致下载的失败。在花费了许多时间和金钱,而下载最终失败时,你一定会感到非常气愤和	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS199724036&dbname=CJFD9498
PSEEs:下一代软件工程环境		中国计算机用户	1997	1997年21期	本文全面介绍了PSEEs的基本概念、组成和体系结构,以及PSEEs相对于以往开发环境的优势,最后介绍了国内外对PSEEs的研究情况和PSEEs的前景。	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS199721001&dbname=CJFD9498
Notes应用开发中的继承性		中国计算机用户	1997	1997年13期	<正> 面向对象的设计方法(Object-Oriented Design,OOD)以其抽象、封装和继承等特性成为软件设计和软件重用的发展主流,也丰富了软件工程中的方法学。在Notes的应用开	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS199713030&dbname=CJFD9498
Java演义(二)		中国计算机用户	1997	1997年11期	<正> 咖啡与计算机 有谁注意到那个美丽富饶的太平洋岛国,与风韵独特、驰名世界的Java咖啡息息相关呢?更有谁会猜出,当今风靡网络世界、名声显赫的Java,与咖啡会有如此一段不解之缘? 其实,Java咖啡并非土生土长于爪哇岛,而是起源于阿拉伯半岛(Arabia)家族的一支,17世纪被荷兰人用他们的商船带走。他们首先将其种植于锡兰,最后在17世纪70年代,把它移植到了土地更加肥沃的爪哇(Java)。这种咖啡作物在爪哇岛上大多是一年三季,这里气候如此湿热,充满了蒸汽,因此毫不奇怪,这个阿拉伯的舶来品,一经扎根于印度尼西亚的沃土,便如此惊人地蔓延与昌盛,并且很快地闻名于荷兰鉴定家之中。随着18世纪荷兰势力与影响的衰落,Java也在与英国商人所偏爱的咖啡品牌的竞争中,经受了同样的痛苦。然而,在20世纪,	http://sso.cdclib.org/interlibSSO/goto/6/=06190596Z93/kcms/detail/detail.aspx?dbCode=cjfq&filename=YHJS199711007&dbname=CJFD9498
